,loss,accuracy,val_loss,val_accuracy
0,0.8513933256133431,0.7523939609527588,0.5375169652186824,0.858730137348175
1,0.17801498115699904,0.9471657276153564,0.6336942497970296,0.8736961483955383
2,0.122204528451627,0.9633861780166626,0.44593245566415,0.9145124554634094
3,0.10115486299884018,0.9699962139129639,0.48215660423445866,0.9092970490455627
4,0.08468427305338877,0.9752727150917053,0.5063015003964229,0.9122449159622192
5,0.08607444712560423,0.9750428199768066,0.6398642295947227,0.9092970490455627
6,0.06873447506406564,0.9793766736984253,0.6184903269548121,0.9090703129768372
7,0.07231037339592868,0.9791812896728516,0.5021432821512898,0.91700679063797
8,0.06571173605426466,0.981468915939331,0.6127377546617029,0.9031745791435242
9,0.06541380411942906,0.9826989769935608,0.6740819809942153,0.900907039642334
10,0.07762279844230308,0.9795836210250854,1.194041232084743,0.9065759778022766
11,0.06846391021757857,0.9818022847175598,0.6017331755557844,0.9229024648666382
12,0.07785289383181157,0.980353832244873,0.9847159003490574,0.9063491821289062
13,0.08798312495975116,0.9787099361419678,0.729607409272024,0.9054421782493591
14,0.07364331801531411,0.981147050857544,0.6804709265382497,0.9133786559104919
15,0.08394435565563654,0.9796870946884155,0.6300296753023732,0.8977324366569519
16,0.10311873180287462,0.9765142798423767,0.7285012074153967,0.9124716520309448
17,0.10654738604209109,0.9759050011634827,1.1750937439201437,0.88117915391922
18,0.09353175342299708,0.9778822660446167,0.6609178344277704,0.9049886465072632
19,0.07997313184778847,0.981147050857544,0.8286638806982181,0.9185941219329834
20,0.08585666173142394,0.9799745082855225,0.7493163492544102,0.9133786559104919
21,0.11540583451949982,0.975928008556366,0.8350312568798237,0.9006802439689636
22,0.07609084119837234,0.9821012020111084,0.9104035446571185,0.9160997867584229
23,0.08176120561353506,0.9820322394371033,0.9245038088246678,0.9047619104385376
24,0.11528412743085438,0.9766062498092651,1.1554743611304483,0.8453514575958252
25,0.15415487393767377,0.9703755378723145,1.1046745353399166,0.9104308485984802
26,0.1363530048177898,0.9735139012336731,1.0019063749138317,0.9018140435218811
