,Min box,Medians,Max box,Min caps,Max caps
Baseline,319.05,427.09,464.06,236.38,562.31
1 Conv layer,257.64,340.75,404.6,207.1,432.81
8 filters,314.7,386.0,439.62,244.07,451.69
32 filters,364.97,430.47,458.07,240.63,494.76
3 Conv layer,389.39,460.36,476.34,262.29,510.23
