,Min box,Medians,Max box,Min caps,Max caps
"2 CL BL (6, 16)",319.05,427.09,464.06,236.38,562.31
1 CL (6),257.64,340.75,404.6,207.1,432.81
"3 CL (6, 16, 16)",389.39,460.36,476.34,262.29,510.23
"2 CL (6, 8)",314.7,386.0,439.62,244.07,451.69
"2 CL (6, 32)",364.97,430.47,458.07,240.63,494.76
