,Min box,Medians,Max box,Min caps,Max caps,Outlier_0,Outlier_1,Outlier_2
Batch size 8,637.53,670.98,710.56,567.72,804.06,509.72,837.35,836.28
Batch size 16,480.22,571.9,649.57,304.95,868.09,1113.48,,
Batch size 32 BL,340.44,415.45,466.05,250.06,541.55,,,
Batch size 64,233.79,272.34,294.74,143.82,305.76,,,
Batch size 128,170.63,192.99,197.07,131.91,225.03,105.95,116.27,
